1	ikOankaar sat naam karataa purakh nirabhau niravair akaal moorat ajoonee saibha(n) gur prasaadh ||	One Universal Creator God. The Name Is Truth. Creative Being Personified. No Fear. No Hatred. Image Of The Undying, Beyond Birth, Self-Existent. By Guru's Grace ~
2	|| jap ||	Name of the Composition, "Jup". Chant And Meditate:
3	aadh sach jugaadh sach ||	True In The Primal Beginning. True Throughout The Ages.
4	hai bhee sach naanak hosee bhee sach ||1||	True Here And Now. O Nanak, Forever And Ever True. ||1||
5	sochai soch na hoviee je sochee lakh vaar ||	Even if one bathes hundreds of thousands of times, the mind does not become cleansed.
6	chupai chup na hoviee je lai rahaa liv taar ||	By remaining silent, inner silence is not obtained, even by remaining lovingly absorbed deep within.
7	bhukhiaa bhukh na utaree je ba(n)naa pureeaa bhaar ||	The hunger of the hungry is not appeased, even by piling up loads of worldly goods.
8	sahas siaanapaa lakh hoh ta ik na chalai naal ||	Hundreds of thousands of clever tricks, but not even one of them will go along with you in the end.
9	kiv sachiaaraa hoieeaai kiv kooRai tuTai paal ||	So how can you become truthful? And how can the veil of falsehood be torn away?
10	hukam rajaiee chalanaa naanak likhiaa naal ||1||	O Nanak, it is written that you shall obey the Hukam of His Command, and walk in the Way of His Will. ||1||
11	hukamee hovan aakaar hukam na kahiaa jaiee ||	By His Command, bodies are created; His Command cannot be described.
12	hukamee hovan jeea hukam milai vaddiaaiee ||	By His Command, souls come into being; by His Command, glory and greatness are obtained.
13	hukamee utam neech hukam likh dhukh sukh paie'eeh ||	By His Command, some are high and some are low; by His Written Command, pain and pleasure are obtained.
14	eikanaa hukamee bakhasees ik hukamee sadhaa bhavaie'eeh ||	Some, by His Command, are blessed and forgiven; others, by His Command, wander aimlessly forever.
15	hukamai a(n)dhar sabh ko baahar hukam na koi ||	Everyone is subject to His Command; no one is beyond His Command.
16	naanak hukamai je bujhai ta haumai kahai na koi ||2||	O Nanak, one who understands His Command, does not speak in ego. ||2||
17	gaavai ko taan hovai kisai taan ||	Some sing of His Power-who has that Power?
18	gaavai ko dhaat jaanai neesaan ||	Some sing of His Gifts, and know His Sign and Insignia.
19	gaavai ko gun vaddiaaieeaa chaar ||	Some sing of His Glorious Virtues, Greatness and Beauty.
20	gaavai ko vidhiaa vikham veechaar ||	Some sing of knowledge obtained of Him, through difficult philosophical studies.
21	gaavai ko saaj kare tan kheh ||	Some sing that He fashions the body, and then again reduces it to dust.
22	gaavai ko jeea lai fir dheh ||	Some sing that He takes life away, and then again restores it.
23	gaavai ko jaapai dhisai dhoor ||	Some sing that He seems so very far away.
24	gaavai ko vekhai haadharaa hadhoor ||	Some sing that He watches over us, face to face, ever-present.
25	kathanaa kathee na aavai toT ||	There is no shortage of those who preach and teach.
26	kath kath kathee koTee koT koT ||	Millions upon millions offer millions of sermons and stories.
27	dhedhaa dhe laidhe thak paeh ||	The Great Giver keeps on giving, while those who receive grow weary of receiving.
28	jugaa juga(n)tar khaahee khaeh ||	Throughout the ages, consumers consume.
29	hukamee hukam chalaae raahu ||	The Commander, by His Command, leads us to walk on the Path.
30	naanak vigasai veparavaahu ||3||	O Nanak, He blossoms forth, Carefree and Untroubled. ||3||
31	saachaa saahib saach nai bhaakhiaa bhaau apaar ||	True is the Master, True is His Name-speak it with infinite love.
32	aakheh ma(n)geh dheh dheh dhaat kare dhaataar ||	People beg and pray, ""Give to us, give to us"", and the Great Giver gives His Gifts.
33	fer k agai rakheeaai jit dhisai dharabaar ||	So what offering can we place before Him, by which we might see the Darbaar of His Court?
34	muhau k bolan boleeaai jit sun dhare piaar ||	What words can we speak to evoke His Love?
35	a(n)mirat velaa sach naau vaddiaaiee veechaar ||	In the Amrit Vaylaa, the ambrosial hours before dawn, chant the True Name, and contemplate His Glorious Greatness.
36	karamee aavai kapaRaa nadharee mokh dhuaar ||	By the karma of past actions, the robe of this physical body is obtained. By His Grace, the Gate of Liberation is found.
37	naanak evai jaaneeaai sabh aape sachiaar ||4||	O Nanak, know this well: the True One Himself is All. ||4||
38	thaapiaa na jai keetaa na hoi ||	He cannot be established, He cannot be created.
39	aape aap nira(n)jan soi ||	He Himself is Immaculate and Pure.
40	jin seviaa tin paiaa maan ||	Those who serve Him are honored.
41	naanak gaaveeaai gunee nidhaan ||	O Nanak, sing of the Lord, the Treasure of Excellence.
42	gaaveeaai suneeaai man rakheeaai bhaau ||	Sing, and listen, and let your mind be filled with love.
43	dhukh parahar sukh ghar lai jai ||	Your pain shall be sent far away, and peace shall come to your home.
44	gurmukh naadha(n) gurmukh vedha(n) gurmukh rahiaa samaiee ||	The Guru's Word is the Sound-current of the Naad; the Guru's Word is the Wisdom of the Vedas; the Guru's Word is all-pervading.
45	gur ieesar gur gorakh baramaa gur paarabatee maiee ||	The Guru is Shiva, the Guru is Vishnu and Brahma; the Guru is Paarvati and Lakhshmi.
46	je hau jaanaa aakhaa naahee kahanaa kathan na jaiee ||	Even knowing God, I cannot describe Him; He cannot be described in words.
47	guraa ik dheh bujhaiee ||	The Guru has given me this one understanding:
48	sabhanaa jeeaa kaa ik dhaataa so mai visar na jaiee ||5||	there is only the One, the Giver of all souls. May I never forget Him! ||5||
49	teerath naavaa je tis bhaavaa vin bhaane k nai karee ||	If I am pleasing to Him, then that is my pilgrimage and cleansing bath. Without pleasing Him, what good are ritual cleansings?
50	jetee siraTh upaiee vekhaa vin karamaa k milai liee ||	I gaze upon all the created beings: without the karma of good actions, what are they given to receive?
51	mat vich ratan javaahar maanik je ik gur kee sikh sunee ||	Within the mind are gems, jewels and rubies, if you listen to the Guru's Teachings, even once.
52	guraa ik dheh bujhaiee ||	The Guru has given me this one understanding:
53	sabhanaa jeeaa kaa ik dhaataa so mai visar na jaiee ||6||	there is only the One, the Giver of all souls. May I never forget Him! ||6||
54	je jug chaare aarajaa hor dhasoonee hoi ||	Even if you could live throughout the four ages, or even ten times more,
55	navaa kha(n)ddaa vich jaaneeaai naal chalai sabh koi ||	and even if you were known throughout the nine continents and followed by all,
56	cha(n)gaa naau rakhai kai jas keerat jag lei ||	with a good name and reputation, with praise and fame throughout the world-
57	je tis nadhar na aaviee ta vaat na puchhai ke ||	still, if the Lord does not bless you with His Glance of Grace, then who cares? What is the use?
58	keeTaa a(n)dhar keeT kar dhosee dhos dhare ||	Among worms, you would be considered a lowly worm, and even contemptible sinners would hold you in contempt.
59	naanak niragun gun kare gunava(n)tiaa gun dhe ||	O Nanak, God blesses the unworthy with virtue, and bestows virtue on the virtuous.
60	tehaa koi na sujhiee j tis gun koi kare ||7||	No one can even imagine anyone who can bestow virtue upon Him. ||7||
61	suniaai sidh peer sur naath ||	Listening-the Siddhas, the spiritual teachers, the heroic warriors, the yogic masters.
62	suniaai dharat dhaval aakaas ||	Listening-the earth, its support and the Akaashic ethers.
63	suniaai dheep loa paataal ||	Listening-the oceans, the lands of the world and the nether regions of the underworld.
64	suniaai poh na sakai kaal ||	Listening-Death cannot even touch you.
65	naanak bhagataa sadhaa vigaas ||	O Nanak, the devotees are forever in bliss.
66	suniaai dhookh paap kaa naas ||8||	Listening-pain and sin are erased. ||8||
67	suniaai ieesar baramaa i(n)dh ||	Listening, and connecting one's consciousness with the Name of the Eternal Being, an ordinary person can rise to the status of Shiva, Brahma, or Indra.
68	suniaai mukh saalaahan ma(n)dh ||	Listening-even foul-mouthed people praise Him.
69	suniaai jog jugat tan bhedh ||	Listening-the technology of Yoga and the secrets of the body.
70	suniaai saasat simirat vedh ||	Listening-the Shaastras, the Simritees and the Vedas.
71	naanak bhagataa sadhaa vigaas ||	O Nanak, the devotees are forever in bliss.
72	suniaai dhookh paap kaa naas ||9||	Listening-pain and sin are erased. ||9||
73	suniaai sat sa(n)tokh giaan ||	Listening-truth, contentment and spiritual wisdom.
74	suniaai aThasaTh kaa isanaan ||	Listening-take your cleansing bath at the sixty-eight places of pilgrimage.
75	suniaai paR paR paaveh maan ||	Listening-reading and reciting, honor is obtained.
76	suniaai laagai sahaj dhiaan ||	Listening-intuitively grasp the essence of meditation.
77	naanak bhagataa sadhaa vigaas ||	O Nanak, the devotees are forever in bliss.
78	suniaai dhookh paap kaa naas ||10||	Listening-pain and sin are erased. ||10||
79	suniaai saraa gunaa ke gaeh ||	Listening-dive deep into the ocean of virtue.
80	suniaai sekh peer paatisaeh ||	Listening-the Shaykhs, religious scholars, spiritual teachers and emperors.
81	suniaai a(n)dhe paaveh raahu ||	Listening-even the blind find the Path.
82	suniaai haath hovai asagaahu ||	Listening-the Unreachable comes within your grasp.
83	naanak bhagataa sadhaa vigaas ||	O Nanak, the devotees are forever in bliss.
84	suniaai dhookh paap kaa naas ||11||	Listening-pain and sin are erased. ||11||
85	ma(n)ne kee gat kahee na jai ||	The state of the faithful cannot be described.
86	je ko kahai pichhai pachhutai ||	One who tries to describe this shall regret the attempt.
87	kaagadh kalam na likhanahaar ||	No paper, no pen, no scribe
88	ma(n)ne kaa beh karan veechaar ||	can record the state of the faithful.
89	aaisaa naam nira(n)jan hoi ||	Such is the Name of the Immaculate Lord.
90	je ko ma(n)n jaanai man koi ||12||	Only one who has faith comes to know such a state of mind. ||12||
91	ma(n)nai surat hovai man budh ||	The faithful have intuitive awareness and intelligence.
92	ma(n)nai sagal bhavan kee sudh ||	The faithful know about all worlds and realms.
93	ma(n)nai muh choTaa naa khai ||	The faithful shall never be struck across the face.
94	ma(n)nai jam kai saath na jai ||	The faithful do not have to go with the Messenger of Death.
95	aaisaa naam nira(n)jan hoi ||	Such is the Name of the Immaculate Lord.
96	je ko ma(n)n jaanai man koi ||13||	Only one who has faith comes to know such a state of mind. ||13||
97	ma(n)nai maarag Thaak na pai ||	The path of the faithful shall never be blocked.
